广州市中小客车指标调控管理信息系统
单位节能指标配置
分期编号：201907
分期描述：2019年07月单位指标配置
分期指标配置日期：2019-07-26
数据生成时间：2019-07-26 10:31:07
有效单位申请编码总数：107
配置单位指标总数：650
指标配置初始值：500804
      -中签详细列表数据-
      序号         申请编码         名称
        69      6833103023925      广州蓝锌汽车租赁有限公司
        70      7057103009160      广东四汇网络科技有限公司
        71      7157103007833      广州市长和汽车销售服务有限公司
        72      7202103024071      广州琪汇汽车服务有限公司
        73      7252103023999      广州明初汽车租赁有限公司
        74      7437103006356      广州科泓金属制品有限公司
        75      7443103018705      广州鸿粤田汽车销售服务有限公司
        76      7454103023942      广东三雄极光照明股份有限公司
        77      7462103022023      广州元丰汽车销售服务有限公司
        78      7567103018706      广州鸿粤田汽车销售服务有限公司
        79      7761102999518      广州广聚工业设备有限公司
        80      7788102995851      广州博通汽车科技有限公司第十六分公司
        81      7838103018709      广州鸿粤田汽车销售服务有限公司
        82      7865103014229      国匠麦家荣（南沙）联营律师事务所
        83      7943102996027      广州博通汽车科技有限公司(cid:12555)分公司
        84      7969102995936      广州博通汽车科技有限公司第一分公司
        85      8000102996887      广州森昕电子科技有限公司
        86      8045102999693      广州伊东进出口贸易有限公司
        87      8104102993143      广州信昌皮具有限公司
        88      8107103009509      广州启睿自动化设备有限公司
        89      8478103014099      广州泉口企业管理有限公司
        90      8497103011341      广州安迅天宇客运有限公司
        91      8525103011957      广州市斯巴拓电子科技有限公司
        92      8577103017568      广州广汽商贸长昕汽车销售有限公司
        93      8604103018704      广州鸿粤田汽车销售服务有限公司
        94      8917103021866      广州市证程汽车租赁有限公司
        95      9011102995965      广州博通汽车科技有限公司第六分公司
        96      9089102995982      广州宝格汽车科技有限公司第五分公司
        97      9245103023920      广东三雄极光照明股份有限公司
-3-
        98      9283102995952      广州宝格汽车科技有限公司第二分公司
        99      9402103025187      广州居家瘦营养健康咨询有限公司
       100      9482103009619      广东盛来企业管理咨询服务有限公司
       101      9701103033420      广州顶美展览工程有限公司
       102      9721103023941      广东三雄极光照明股份有限公司
       103      9764103024060      广州达图汽车服务有限公司
       104      9778103023906      广州冠笙汽车租赁有限公司
       105      9809103017922      广州市佳旭包装材料有限公司
       106      9862102996015      广州市韦邦杰世文化传播有限公司
       107      9930103019903      广州市瑞赫斯自动化设备有限公司
      -中签详细列表数据完成-
-4-
